2025-06-09 10:00:50,938 - ERROR - Error initializing PairManager: list indices must be integers or slices, not str
2025-06-09 10:00:50,938 - ERROR - Error in main: list indices must be integers or slices, not str
2025-06-09 10:03:20,172 - ERROR - Error initializing PairManager: list indices must be integers or slices, not str
2025-06-09 10:03:20,172 - ERROR - Error in main: list indices must be integers or slices, not str
2025-06-09 14:22:51,116 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:23:01,251 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:23:01,251 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:23:11,391 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:23:11,391 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:23:21,540 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:23:21,540 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:23:31,706 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:23:31,706 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:23:41,867 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:23:41,867 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:23:52,004 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:23:52,004 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:24:02,163 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:24:02,164 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:24:12,330 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:24:12,330 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:24:22,493 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:24:22,493 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:24:32,656 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:24:32,656 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:24:42,792 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:24:42,792 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:24:52,953 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:24:52,953 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:25:03,097 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:25:03,097 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:25:13,252 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:25:13,252 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:25:23,396 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:25:23,396 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:25:33,550 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:25:33,550 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:25:43,688 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:25:43,688 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:25:53,849 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:25:53,849 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:26:04,020 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:26:04,020 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:26:14,157 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:26:14,157 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
